2026-02-19 00:12:13 | LOGIN | clayemail | user session: clayemail (DONOR)
2026-02-19 00:12:14 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:16:20 | LOGIN | clayemail | user session: clayemail (DONOR)
2026-02-19 00:16:36 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:16:38 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:16:45 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:17:15 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:17:19 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:17:40 | READ_TICKETS | clayemail | tickets queried (status=ACCEPTED) by clayemail
2026-02-19 00:17:40 | READ_TICKETS | clayemail | tickets queried (status=PICKED_UP) by clayemail
2026-02-19 00:17:48 | READ_TICKETS | clayemail | tickets queried (status=PENDING) by clayemail
2026-02-19 00:17:49 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:24:18 | LOGIN | clayemail | user session: clayemail (DONOR)
2026-02-19 00:24:19 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:24:25 | READ_TICKETS | clayemail | tickets queried (status=ACCEPTED) by clayemail
2026-02-19 00:24:25 | READ_TICKETS | clayemail | tickets queried (status=PICKED_UP) by clayemail
2026-02-19 00:24:26 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:24:27 | READ_TICKETS | clayemail | tickets queried (status=ACCEPTED) by clayemail
2026-02-19 00:24:27 | READ_TICKETS | clayemail | tickets queried (status=PICKED_UP) by clayemail
2026-02-19 00:24:28 | READ_TICKETS | clayemail | tickets queried (status=PENDING) by clayemail
2026-02-19 00:24:33 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:24:41 | LOGIN | nov@gmail.com | user session: nov@gmail.com (RIDER)
2026-02-19 00:24:42 | RIDER_SET_AVAILABLE | nov@gmail.com | rider nov@gmail.com set available
2026-02-19 00:24:42 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:24:42 | READ_TICKETS | rider | tickets queried (status=PENDING) by rider
2026-02-19 00:24:42 | READ_TICKETS | nov@gmail.com | tickets queried by nov@gmail.com
2026-02-19 00:24:48 | RIDER_SET_UNAVAILABLE | nov@gmail.com | rider nov@gmail.com set unavailable
2026-02-19 00:25:06 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:25:06 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:06 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:25:06 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:06 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:06 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:06 | READ_DONATION_DRIVES |  | drives queried
2026-02-19 00:25:11 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:13 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:14 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:14 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:15 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:33 | READ_TICKETS | admin | tickets queried by admin
2026-02-19 00:25:33 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:33:15 | READ_TICKETS | donor@gmail.com | tickets queried by donor@gmail.com
2026-02-21 18:33:15 | READ_TICKETS |  | tickets queried (status=PENDING) by all
2026-02-21 18:33:27 | LOGIN |  | login attempt failed for: 2245587@slu.edu.ph
2026-02-21 18:33:32 | LOGIN |  | login attempt failed for: 2245587@slu.edu.ph
2026-02-21 18:35:11 | REGISTER |  | new user registered: 5012@gmail.com as DONOR
2026-02-21 18:35:32 | LOGIN | 5012@gmail.com | user session: 5012@gmail.com (DONOR)
2026-02-21 18:35:33 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:35:51 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
2026-02-21 18:35:51 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:35:53 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:37:33 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
2026-02-21 18:37:33 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:37:35 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
2026-02-21 18:37:35 | READ_TICKETS | 5012@gmail.com | tickets queried (status=PICKED_UP) by 5012@gmail.com
2026-02-21 18:37:38 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:37:40 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:38:04 | CREATE_TICKET | 5012@gmail.com | Donation ticket created successfully. Ticket ID: 1771669995592
2026-02-21 18:38:04 | UPDATE_DRIVE_AMOUNT | null | drive 'The Badjao Incident' amount updated by 3.0
2026-02-21 18:43:16 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:43:28 | LOGIN |  | login attempt failed for: 5012@gmail.com
2026-02-21 18:43:33 | LOGIN |  | login attempt failed for: 5012@gmail.com
2026-02-21 18:43:37 | LOGIN | 5012@gmail.com | user session: 5012@gmail.com (DONOR)
2026-02-21 18:43:38 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:43:41 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:44:03 | READ_DONATION_DRIVES |  | drives queried
2026-02-21 18:44:26 | READ_TICKETS | 5012@gmail.com | tickets queried (status=ACCEPTED) by 5012@gmail.com
